상호명,서비스,음식,편의성,가격,행정동,중분류,업종,naver_map_url
유,2.09,1.91,1.19,1.82,역삼1동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/711384583
스시겐,1.67,1.61,1.34,1.79,서교동,일식/수산물,음식점-초밥전문,https://m.place.naver.com/restaurant/11574396
호돌이반점,1.7,2.83,1.69,1.87,역삼1동,중식,중국음식/중국집,https://m.place.naver.com/restaurant/1051178336
피자피자,1.55,1.37,1.19,2.17,종로1.2.3.4가동,패스트푸드,피자전문,https://m.place.naver.com/restaurant/909606899
르메이에르분식,2.45,3.0,2.93,3.09,종로1.2.3.4가동,분식,라면김밥분식,https://m.place.naver.com/restaurant/1406158111
모우,1.06,0.76,0.73,0.82,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/21235571
서교민,1.02,0.73,0.84,0.79,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/35075991
흥진옥,1.15,0.85,0.61,0.48,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/19878344
서울포차,1.22,1.11,0.76,0.76,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1796113081
구포국수,1.31,1.2,1.02,1.27,서교동,분식,라면김밥분식,https://m.place.naver.com/restaurant/36604718
밀림,2.98,2.2,1.19,1.98,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1011943552
나루토,3.18,2.94,1.54,2.72,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1294694156
남경,0.96,0.69,0.65,0.88,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/20852492
튀김스럽다곱창앤닭발,1.26,1.01,0.87,0.81,서교동,분식,라면김밥분식,https://m.place.naver.com/restaurant/1289119666
두배고기,2.71,4.19,2.83,2.07,역삼1동,한식,갈비/삼겹살,https://m.place.naver.com/restaurant/1969852730
토속정,0.84,1.33,0.79,0.88,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/13433495
광명대창집,1.31,1.5,0.82,1.61,서교동,한식,곱창/양구이전문,https://m.place.naver.com/restaurant/1354944829
오븐에빠진닭강남2호점,1.12,1.12,0.76,1.03,역삼1동,닭/오리요리,후라이드/양념치킨,https://m.place.naver.com/restaurant/19459580
한솥,1.88,1.92,1.25,1.86,역삼1동,패스트푸드,도시락전문점,https://m.place.naver.com/restaurant/37370527
골목집,0.64,1.04,0.46,0.8,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/18404070
데이데이,1.1,0.86,0.72,0.82,역삼1동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/1158304762
만장일치,1.82,1.67,1.24,1.29,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1729638735
블루문서울,3.11,3.4,1.66,2.82,역삼1동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/1014355254
동궁찜닭,1.13,1.0,0.87,0.95,서교동,닭/오리요리,찜닭전문점,https://m.place.naver.com/restaurant/1003980576
놀부부대찌개&철판구이,1.28,1.04,1.09,1.22,서교동,한식,부대찌개/섞어찌개,https://m.place.naver.com/restaurant/32625659
미엘르,1.62,1.69,0.68,1.03,역삼1동,양식,기타전문서양음식점,https://m.place.naver.com/restaurant/34177861
서브웨이,1.36,1.47,0.99,1.08,종로1.2.3.4가동,패스트푸드,패스트푸드,https://m.place.naver.com/restaurant/17926788
압구정곱떡,1.59,1.68,1.5,2.27,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1215229837
아이리스,1.89,1.37,1.11,1.42,역삼1동,유흥주점,기타일반유흥주점,https://m.place.naver.com/restaurant/11722030
남도식당,0.98,0.42,0.64,0.72,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/13078828
한과채,1.76,1.66,1.24,1.45,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/19878310
누구나홀딱반한닭,1.59,1.46,1.22,1.37,서교동,닭/오리요리,후라이드/양념치킨,https://m.place.naver.com/restaurant/32785743
바다나라,1.2,0.95,0.84,1.08,서교동,일식/수산물,횟집,https://m.place.naver.com/restaurant/11590279
맘스터치홍대점,0.96,0.63,0.61,0.0,서교동,패스트푸드,패스트푸드,https://m.place.naver.com/restaurant/37572950
에스,1.3,0.91,0.78,0.96,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/37712947
강남불백,1.21,1.18,0.98,1.41,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/35964491
알디프,1.96,2.67,1.3,3.74,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1623890824
강남불백,1.21,1.18,0.98,1.41,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/35964491
영도다리,1.78,1.43,1.05,1.34,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1283027259
와라와라,0.83,0.67,0.52,0.45,종로1.2.3.4가동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/13136565
문짱김밥,1.34,1.15,1.01,1.44,서교동,분식,라면김밥분식,https://m.place.naver.com/restaurant/1860007845
연가,1.52,1.33,1.21,1.3,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/35278680
지오쿠치나익선,2.58,2.51,1.74,2.64,종로1.2.3.4가동,양식,기타전문서양음식점,https://m.place.naver.com/restaurant/1702678987
갈비킹,3.0,3.27,3.05,2.99,서교동,한식,갈비/삼겹살,https://m.place.naver.com/restaurant/1959853638
동해안,2.13,1.95,1.66,1.56,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/19878363
18번가가요리믹스,0.9,0.67,0.68,0.63,종로1.2.3.4가동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/35162889
김씨네,1.83,1.89,1.48,2.05,서교동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/33299940
그동네떡볶이,1.63,1.92,1.95,1.86,서교동,분식,떡볶이전문,https://m.place.naver.com/restaurant/32481151
본죽&비빔밥,1.03,0.85,0.72,0.82,역삼1동,별식/퓨전요리,죽전문점,https://m.place.naver.com/restaurant/12972837
백년불고기물갈비,1.22,1.19,0.9,1.07,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1763512932
밀토스트,1.08,0.79,0.64,0.86,종로1.2.3.4가동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/1144266126
요호,0.88,0.6,0.6,0.65,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1189616956
모리,0.95,0.81,0.74,1.05,역삼1동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/1683549281
모터시티바이매니멀,1.26,0.94,0.53,0.6,역삼1동,양식,기타전문서양음식점,https://m.place.naver.com/restaurant/1951534779
바로,2.17,2.59,1.85,4.06,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/21607745
삼겹살전문점대통령,2.16,1.79,1.72,1.74,역삼1동,한식,갈비/삼겹살,https://m.place.naver.com/restaurant/20563653
시티카페강남,1.77,1.22,1.0,1.48,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1497015335
까페리빈,1.61,1.33,0.96,1.22,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1082185161
미인이자카야포차,1.11,0.78,0.67,0.77,역삼1동,유흥주점,소주방/포장마차,https://m.place.naver.com/restaurant/11609433
부산아지매국밥,0.81,1.64,1.58,0.84,역삼1동,한식,해장국/감자탕,https://m.place.naver.com/restaurant/37797403
안국식당,1.89,2.57,1.21,2.97,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1871966656
홍익숯불갈비,2.55,3.98,3.57,2.4,서교동,한식,갈비/삼겹살,https://m.place.naver.com/restaurant/1873281326
천하,1.06,0.91,0.96,0.71,역삼1동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/1827930093
오징어청춘,1.64,1.45,1.35,1.42,역삼1동,일식/수산물,낙지/오징어,https://m.place.naver.com/restaurant/35463409
고가네철판불백,1.51,1.32,1.3,1.39,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1020912680
서울식당,1.03,0.85,0.7,0.84,종로1.2.3.4가동,일식/수산물,매운탕전문,https://m.place.naver.com/restaurant/38009241
알부자,2.09,2.77,2.42,2.04,역삼1동,일식/수산물,수산물전문음식점-종합,https://m.place.naver.com/restaurant/12018058
장수멸치국수,1.58,1.37,1.51,1.62,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1332031457
이남장,1.49,1.57,1.94,1.22,종로1.2.3.4가동,한식,설렁탕집,https://m.place.naver.com/restaurant/11679393
김치찌개&두루치기&집밥도시락,2.93,3.42,2.48,1.66,서교동,패스트푸드,도시락전문점,https://m.place.naver.com/restaurant/34013916
메밀란,1.0,1.13,0.98,1.01,종로1.2.3.4가동,분식,국수/만두/칼국수,https://m.place.naver.com/restaurant/1347515975
아리네술상,1.17,0.88,0.87,0.99,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/37230688
설레임,1.09,0.93,0.91,0.89,서교동,한식,갈비/삼겹살,https://m.place.naver.com/restaurant/36519676
미분당,1.55,1.72,0.89,1.26,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/744404302
언덕집,1.43,1.15,1.1,1.09,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/36504825
동경에서먹었던규동,1.98,1.97,1.44,2.44,역삼1동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/1093474194
양국,1.46,1.71,1.05,1.07,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/13150007
빌즈,1.89,2.14,1.52,3.16,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1019866860
일미리금계찜닭,1.13,1.0,1.04,1.12,역삼1동,닭/오리요리,찜닭전문점,https://m.place.naver.com/restaurant/36520116
대독장강남점,0.59,0.54,0.48,0.47,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/38521280
오공일파스타,1.49,1.22,1.08,1.49,서교동,패스트푸드,패스트푸드,https://m.place.naver.com/restaurant/37838245
왕스펍,1.06,1.02,0.65,0.88,역삼1동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/1296889691
대포항회무침,0.85,0.56,0.52,0.51,서교동,일식/수산물,수산물전문음식점-종합,https://m.place.naver.com/restaurant/20917462
강가,1.9,1.87,1.44,1.78,역삼1동,별식/퓨전요리,동남아음식전문점,https://m.place.naver.com/restaurant/12794575
장수삼계탕,1.11,1.19,0.79,0.95,종로1.2.3.4가동,닭/오리요리,삼계탕전문,https://m.place.naver.com/restaurant/17924476
구영회참치앤초밥,1.41,1.52,1.02,1.45,역삼1동,일식/수산물,음식점-초밥전문,https://m.place.naver.com/restaurant/36642910
그윽,1.75,1.88,1.83,2.17,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1197157398
고향집,1.16,1.38,0.92,0.81,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/20923676
반미홍호아,3.16,2.5,1.35,2.53,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1415110800
봉추찜닭주공공이점,1.3,1.48,1.36,1.48,역삼1동,닭/오리요리,찜닭전문점,https://m.place.naver.com/restaurant/11807489
두찜,1.38,1.26,1.05,1.37,서교동,닭/오리요리,찜닭전문점,https://m.place.naver.com/restaurant/1005617643
전주비빔밥,1.09,0.71,0.74,0.79,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1385135068
손빛나,0.88,0.6,0.6,0.65,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1363879669
돈화문닭한마리,2.85,3.33,2.73,3.18,종로1.2.3.4가동,닭/오리요리,삼계탕전문,https://m.place.naver.com/restaurant/36932262
헝그리베어딜리버리,1.03,0.76,0.72,0.91,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1623893309
한상차림,1.62,1.43,1.1,1.3,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/573699969
정동진,1.01,0.75,0.69,0.81,역삼1동,일식/수산물,횟집,https://m.place.naver.com/restaurant/64082870
포메인,0.46,0.45,0.45,0.33,역삼1동,별식/퓨전요리,동남아음식전문점,https://m.place.naver.com/restaurant/12872198
명동칼국수,1.35,1.19,1.85,1.32,역삼1동,분식,국수/만두/칼국수,https://m.place.naver.com/restaurant/20919870
스윗밸런스,1.59,1.41,1.12,1.75,종로1.2.3.4가동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/1826822349
청진옥,1.81,2.16,1.89,2.23,종로1.2.3.4가동,한식,해장국/감자탕,https://m.place.naver.com/restaurant/13544101
이화숯불갈비,1.2,1.06,0.98,1.16,역삼1동,한식,갈비/삼겹살,https://m.place.naver.com/restaurant/32593520
제주은희네해장국,1.45,1.48,1.24,1.26,서교동,한식,해장국/감자탕,https://m.place.naver.com/restaurant/134716918
리턴,0.88,0.6,0.6,0.65,역삼1동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/36022400
숙성회136,1.34,1.06,0.8,1.25,역삼1동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/1114223366
포시즌,0.97,0.71,0.7,0.75,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/20936543
평안도찹쌀순대강남직영점,1.32,1.21,1.06,1.58,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/37801077
모모사라,1.68,1.71,1.13,2.17,역삼1동,양식,기타전문서양음식점,https://m.place.naver.com/restaurant/36097674
인기명강남점,1.16,0.93,0.8,1.07,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/37912158
코다차야강남점,1.57,1.06,0.94,1.04,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/31509806
스매쉬치즈버거,1.63,1.68,2.32,1.58,역삼1동,패스트푸드,패스트푸드,https://m.place.naver.com/restaurant/1239377964
서정원양꼬치샤브샤브,1.48,2.3,1.2,1.14,역삼1동,별식/퓨전요리,샤브샤브전문,https://m.place.naver.com/restaurant/499407668
상하정,0.93,0.69,0.69,0.7,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/20735712
어쩌다와인,3.63,2.35,1.27,1.8,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1217272268
후와후와,1.27,0.95,0.59,0.88,종로1.2.3.4가동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/1147194464
버드나무집,1.39,1.54,1.33,0.81,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/11627634
더차이나,0.92,0.65,0.62,0.67,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/21805556
계동치킨,1.17,0.81,0.75,0.85,서교동,닭/오리요리,후라이드/양념치킨,https://m.place.naver.com/restaurant/176949661
교촌치킨홍대점,0.89,0.46,0.53,0.3,서교동,닭/오리요리,후라이드/양념치킨,https://m.place.naver.com/restaurant/13454916
종가,0.9,0.66,0.72,0.58,종로1.2.3.4가동,한식,갈비/삼겹살,https://m.place.naver.com/restaurant/38276221
스윗밸런스역삼점,1.1,1.28,0.93,1.44,역삼1동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/1196492596
순창식당,1.13,0.91,0.91,1.0,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/34007086
홍어한마리,1.3,1.73,1.01,1.33,서교동,일식/수산물,홍어전문,https://m.place.naver.com/restaurant/21651225
하이,1.49,1.46,0.93,2.44,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1147928621
마초쉐프,2.6,1.98,1.6,2.99,역삼1동,양식,기타전문서양음식점,https://m.place.naver.com/restaurant/36250128
본죽앤비빔밥카페역삼역점,1.04,0.93,0.7,0.93,역삼1동,별식/퓨전요리,죽전문점,https://m.place.naver.com/restaurant/1421188490
칸꼬시,0.94,0.67,0.68,0.72,역삼1동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/1084480642
황소고집,1.5,1.67,1.26,1.69,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/11677544
크레이지후라이,2.2,2.34,1.63,1.99,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1351836956
청춘감성쌀핫도그홍대1호점,1.39,1.09,0.92,1.1,서교동,패스트푸드,핫도그,https://m.place.naver.com/restaurant/220779170
베스킨라빈스,1.43,1.36,0.89,1.17,역삼1동,패스트푸드,아이스크림판매,https://m.place.naver.com/restaurant/1608917706
소윤화,1.59,1.55,1.14,1.37,역삼1동,중식,중국음식/중국집,https://m.place.naver.com/restaurant/18766886
제주흑다돈,1.87,2.71,1.76,1.65,역삼1동,한식,갈비/삼겹살,https://m.place.naver.com/restaurant/35431420
더샐러드컴퍼니,0.88,0.6,0.6,0.65,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1058591756
빨강우산부대찌개,1.65,1.64,1.54,2.52,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1559151290
테이블,2.17,2.59,1.85,4.06,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/21607745
던킨도너츠,1.39,1.04,1.02,1.22,역삼1동,패스트푸드,도너츠전문,https://m.place.naver.com/restaurant/36947999
무교동낙지,1.4,1.48,1.32,2.06,종로1.2.3.4가동,일식/수산물,낙지/오징어,https://m.place.naver.com/restaurant/20739370
파스토보이,0.98,0.85,0.7,0.79,역삼1동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/1223432280
스시키,2.58,2.93,1.24,2.53,역삼1동,일식/수산물,음식점-초밥전문,https://m.place.naver.com/restaurant/38576093
천사곱창,1.93,2.5,1.75,1.53,서교동,한식,곱창/양구이전문,https://m.place.naver.com/restaurant/1797964754
커피빈,1.59,1.3,1.13,2.05,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/11739057
카와,2.14,2.59,2.41,2.52,서교동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/1924306900
옛날장터,1.69,2.01,1.38,1.25,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/324368141
던킨도너츠,1.39,1.04,1.02,1.22,역삼1동,패스트푸드,도너츠전문,https://m.place.naver.com/restaurant/36947999
스시츠루,1.38,1.58,0.82,1.54,역삼1동,일식/수산물,음식점-초밥전문,https://m.place.naver.com/restaurant/64801706
작,1.42,1.17,0.81,1.12,역삼1동,분식,라면김밥분식,https://m.place.naver.com/restaurant/38709366
하스,1.39,1.15,0.83,1.39,서교동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/38693049
더위스키바이로이,1.56,1.13,0.83,1.37,역삼1동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/1999400767
생어거스틴,1.66,1.99,1.68,1.5,역삼1동,별식/퓨전요리,동남아음식전문점,https://m.place.naver.com/restaurant/31514532
츄라우미,1.56,1.24,1.21,1.46,역삼1동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/234267045
인바운드,2.41,1.66,1.1,2.36,서교동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/1350862638
노가리슈퍼,0.57,0.54,0.47,0.52,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/38345024
사보텐,1.35,0.97,1.51,1.66,역삼1동,양식,돈가스전문점,https://m.place.naver.com/restaurant/21591754
수잔네,2.22,2.19,1.7,2.59,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1279079836
진저피그,1.87,1.58,1.74,1.32,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/36091005
본죽앤비빔밥카페강남역점,1.03,0.85,0.72,0.82,역삼1동,별식/퓨전요리,죽전문점,https://m.place.naver.com/restaurant/12972837
교촌치킨역삼1호점,1.35,1.57,0.97,0.03,역삼1동,닭/오리요리,후라이드/양념치킨,https://m.place.naver.com/restaurant/1701534155
로파이,1.21,1.08,0.39,0.78,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1603751419
불이아,1.69,1.26,1.23,1.08,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/33575631
토속청국장,1.4,1.58,1.14,1.43,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/20882039
엄마손맛집,1.41,1.55,1.0,1.45,종로1.2.3.4가동,분식,라면김밥분식,https://m.place.naver.com/restaurant/1750315849
오술차,1.66,1.27,1.14,1.49,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1257241393
역전우동0410,1.86,1.38,1.3,1.41,역삼1동,분식,우동전문점,https://m.place.naver.com/restaurant/37546807
옹헤야불백,1.56,1.38,1.52,1.46,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1291802578
미서네,1.08,0.81,0.77,0.85,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1401510143
두르가,1.0,0.73,0.76,0.77,종로1.2.3.4가동,양식,카레전문점,https://m.place.naver.com/restaurant/11873695
국민우동집,1.23,1.14,0.96,1.01,역삼1동,분식,우동전문점,https://m.place.naver.com/restaurant/860263425
W-37,1.3,1.28,0.88,1.22,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1333682838
작가,1.41,1.35,0.9,1.4,서교동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/34959703
대운식당,1.31,0.93,1.16,1.14,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1465658248
잇테이블,1.36,1.1,0.97,1.32,역삼1동,패스트푸드,패스트푸드,https://m.place.naver.com/restaurant/31863790
미카도스시,1.64,1.72,1.39,2.28,종로1.2.3.4가동,일식/수산물,음식점-초밥전문,https://m.place.naver.com/restaurant/1189137535
배수사,2.43,1.66,0.97,1.71,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1100081031
일산칼국수,1.41,1.33,1.39,1.11,종로1.2.3.4가동,분식,국수/만두/칼국수,https://m.place.naver.com/restaurant/37035931
팔로피자,2.37,2.91,1.86,3.57,서교동,양식,기타전문서양음식점,https://m.place.naver.com/restaurant/36785829
뮤다,1.17,1.15,0.8,0.6,서교동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/1262592015
린카,1.24,0.98,0.9,1.05,역삼1동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/1648869383
부산돈고집,1.58,1.64,1.45,1.44,역삼1동,한식,기타고기요리,https://m.place.naver.com/restaurant/1085832558
브리오슈도레그랑서울점,0.93,1.05,0.82,1.11,종로1.2.3.4가동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/37867443
일구칠칠,0.97,0.75,0.66,0.76,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1136393419
연남옥탑,2.23,1.86,1.2,1.47,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1078849137
홍대공감,2.07,1.69,0.98,1.61,서교동,유흥주점,소주방/포장마차,https://m.place.naver.com/restaurant/1654577204
양가곱창,0.88,0.73,0.63,0.67,종로1.2.3.4가동,한식,곱창/양구이전문,https://m.place.naver.com/restaurant/36276664
아방궁,2.41,2.34,1.55,1.98,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/35553533
풀문,0.91,0.63,0.65,0.87,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1955747157
가장맛있는족발,1.24,0.75,0.93,1.05,종로1.2.3.4가동,한식,족발/보쌈전문,https://m.place.naver.com/restaurant/32708664
복돈이가마솥순대국,0.69,0.72,0.85,0.65,역삼1동,별식/퓨전요리,순대전문점,https://m.place.naver.com/restaurant/1963224299
모리츠플라츠,1.23,0.93,0.79,1.11,서교동,패스트푸드,패스트푸드,https://m.place.naver.com/restaurant/1043379025
종로양꼬치,2.65,2.99,1.88,1.92,종로1.2.3.4가동,유흥주점,꼬치구이전문점,https://m.place.naver.com/restaurant/21445348
여우골,2.05,1.79,1.56,2.69,서교동,일식/수산물,음식점-초밥전문,https://m.place.naver.com/restaurant/37257404
와이쿠페,1.53,1.5,1.24,1.83,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1383145759
마시다,1.23,0.97,0.9,1.3,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1564784018
신강양꼬치,1.27,1.08,0.91,1.04,역삼1동,유흥주점,꼬치구이전문점,https://m.place.naver.com/restaurant/37935614
배떼기,2.0,2.32,1.81,1.86,서교동,한식,곱창/양구이전문,https://m.place.naver.com/restaurant/37322790
아지트포차,3.15,3.64,1.36,3.1,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/37778318
토담토담,1.26,1.24,1.02,1.14,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/37290141
육향,1.0,0.76,0.71,0.8,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/38556375
대게나라,1.51,1.42,1.14,1.7,서교동,일식/수산물,바닷가재/게요리전문,https://m.place.naver.com/restaurant/38232623
3일한우국밥,1.34,1.23,1.03,1.13,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1161700181
더왈츠,0.94,0.75,0.51,0.67,역삼1동,분식,라면김밥분식,https://m.place.naver.com/restaurant/13573135
단뽀뽀,1.22,1.07,0.83,0.93,서교동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/32308135
서울물회,1.16,0.88,0.81,0.9,역삼1동,일식/수산물,횟집,https://m.place.naver.com/restaurant/1742005391
순남시래기,1.53,1.16,1.44,1.3,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/38010752
신성일식,1.17,0.97,0.9,1.06,종로1.2.3.4가동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/18666363
사보텐,1.31,1.42,1.04,1.17,종로1.2.3.4가동,양식,돈가스전문점,https://m.place.naver.com/restaurant/36225167
로운샤브샤브,0.59,0.59,0.1,0.56,서교동,별식/퓨전요리,샤브샤브전문,https://m.place.naver.com/restaurant/36827483
스시코미치,1.92,1.76,1.38,2.14,서교동,일식/수산물,음식점-초밥전문,https://m.place.naver.com/restaurant/1031280455
신부자식당,1.28,1.54,1.67,0.19,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/37388550
모파상,1.89,1.85,1.26,1.88,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/38737563
쭈퍼맨,1.07,0.84,0.76,0.87,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1138169033
고불초쌈밥,1.92,1.64,1.55,1.42,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1759182970
오징어이야기홍대수산,1.43,1.01,1.0,1.18,서교동,일식/수산물,낙지/오징어,https://m.place.naver.com/restaurant/32242920
서교동김밥,1.21,0.98,0.85,1.0,서교동,분식,라면김밥분식,https://m.place.naver.com/restaurant/38275662
미도인홍대,2.07,2.82,2.24,2.1,서교동,양식,기타전문서양음식점,https://m.place.naver.com/restaurant/1436718221
누나홀닭망원역점,1.35,1.01,0.8,1.1,서교동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/38457258
은성한정식,1.16,0.65,1.07,0.76,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1194910250
착한덮밥,1.17,0.93,0.82,1.01,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1306649384
무니,1.55,1.17,1.05,1.24,서교동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/38277647
중화복춘,1.81,2.8,1.63,2.12,서교동,중식,중국음식/중국집,https://m.place.naver.com/restaurant/38301272
